record_id,document_type,image_filename,doc_date,organization_or_store,category,total_amount,payment_method,respondent_dept,satisfaction_score,usability_score,speed_score,handwritten_note,has_noise,is_low_resolution,expected_ocr_text,required_ocr_fields
R-0110,receipt,data/input_images/receipts/receipt_110_R-0110.jpg,2026-06-21,스마트오피스,도서자료,48950,개인카드,,,,,팀 회의 사용,False,True,상호명 스마트오피스; 일자 2026-06-21; 합계금액 48950; 수기메모 팀 회의 사용,"상호명, 일자, 합계금액, 수기메모"
R-0065,receipt,data/input_images/receipts/receipt_065_R-0065.jpg,2026-03-14,테크문구,교육운영,334400,현금,,,,,실습 준비용,True,False,상호명 테크문구; 일자 2026-03-14; 합계금액 334400; 수기메모 실습 준비용,"상호명, 일자, 합계금액, 수기메모"
S-0090,survey,data/input_images/surveys/survey_090_S-0090.jpg,2026-06-16,,만족도설문,,,재무팀,4,3,4,모바일 화면 개선,False,False,응답일 2026-06-16; 부서 재무팀; 전체만족도 4; 사용편의성 3; 응답속도 4; 추천의향 3; 수기의견 모바일 화면 개선,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0017,receipt,data/input_images/receipts/receipt_017_R-0017.jpg,2026-05-04,서울프린트,사무용품,111650,현금,,,,,교육자료 준비,False,False,상호명 서울프린트; 일자 2026-05-04; 합계금액 111650; 수기메모 교육자료 준비,"상호명, 일자, 합계금액, 수기메모"
S-0019,survey,data/input_images/surveys/survey_019_S-0019.jpg,2026-04-24,,만족도설문,,,재무팀,4,5,2,이미지 업로드 편리,True,False,응답일 2026-04-24; 부서 재무팀; 전체만족도 4; 사용편의성 5; 응답속도 2; 추천의향 5; 수기의견 이미지 업로드 편리,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0039,survey,data/input_images/surveys/survey_039_S-0039.jpg,2026-06-09,,만족도설문,,,재무팀,2,5,2,모바일 화면 개선,False,True,응답일 2026-06-09; 부서 재무팀; 전체만족도 2; 사용편의성 5; 응답속도 2; 추천의향 2; 수기의견 모바일 화면 개선,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0102,survey,data/input_images/surveys/survey_102_S-0102.jpg,2026-05-11,,만족도설문,,,데이터팀,4,5,5,OCR 결과 확인 필요,False,True,응답일 2026-05-11; 부서 데이터팀; 전체만족도 4; 사용편의성 5; 응답속도 5; 추천의향 4; 수기의견 OCR 결과 확인 필요,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0031,receipt,data/input_images/receipts/receipt_031_R-0031.jpg,2026-04-25,모두카페,도서자료,19800,개인카드,,,,,대시보드 검토,False,False,상호명 모두카페; 일자 2026-04-25; 합계금액 19800; 수기메모 대시보드 검토,"상호명, 일자, 합계금액, 수기메모"
R-0036,receipt,data/input_images/receipts/receipt_036_R-0036.jpg,2026-04-19,클라우드문구,도서자료,147400,법인카드,,,,,대시보드 검토,False,False,상호명 클라우드문구; 일자 2026-04-19; 합계금액 147400; 수기메모 대시보드 검토,"상호명, 일자, 합계금액, 수기메모"
R-0082,receipt,data/input_images/receipts/receipt_082_R-0082.jpg,2026-05-27,클라우드문구,교육운영,188100,계좌이체,,,,,현장 실습비,False,False,상호명 클라우드문구; 일자 2026-05-27; 합계금액 188100; 수기메모 현장 실습비,"상호명, 일자, 합계금액, 수기메모"
R-0015,receipt,data/input_images/receipts/receipt_015_R-0015.jpg,2026-03-16,클라우드문구,인쇄제본,243100,계좌이체,,,,,교육자료 준비,True,False,상호명 클라우드문구; 일자 2026-03-16; 합계금액 243100; 수기메모 교육자료 준비,"상호명, 일자, 합계금액, 수기메모"
R-0113,receipt,data/input_images/receipts/receipt_113_R-0113.jpg,2026-05-25,스마트오피스,사무용품,146300,개인카드,,,,,프로젝트 자료,False,False,상호명 스마트오피스; 일자 2026-05-25; 합계금액 146300; 수기메모 프로젝트 자료,"상호명, 일자, 합계금액, 수기메모"
S-0015,survey,data/input_images/surveys/survey_015_S-0015.jpg,2026-04-27,,만족도설문,,,인사팀,3,5,3,입력 절차가 간단함,True,False,응답일 2026-04-27; 부서 인사팀; 전체만족도 3; 사용편의성 5; 응답속도 3; 추천의향 3; 수기의견 입력 절차가 간단함,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0050,survey,data/input_images/surveys/survey_050_S-0050.jpg,2026-04-28,,만족도설문,,,데이터팀,2,2,2,이미지 업로드 편리,True,True,응답일 2026-04-28; 부서 데이터팀; 전체만족도 2; 사용편의성 2; 응답속도 2; 추천의향 4; 수기의견 이미지 업로드 편리,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0029,survey,data/input_images/surveys/survey_029_S-0029.jpg,2026-05-23,,만족도설문,,,영업팀,4,3,3,보고서 자동화 유용,True,False,응답일 2026-05-23; 부서 영업팀; 전체만족도 4; 사용편의성 3; 응답속도 3; 추천의향 2; 수기의견 보고서 자동화 유용,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0070,survey,data/input_images/surveys/survey_070_S-0070.jpg,2026-06-21,,만족도설문,,,인사팀,5,4,3,보고서 자동화 유용,False,False,응답일 2026-06-21; 부서 인사팀; 전체만족도 5; 사용편의성 4; 응답속도 3; 추천의향 3; 수기의견 보고서 자동화 유용,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0021,survey,data/input_images/surveys/survey_021_S-0021.jpg,2026-05-10,,만족도설문,,,마케팅팀,4,3,1,데이터 보정 기능 좋음,False,False,응답일 2026-05-10; 부서 마케팅팀; 전체만족도 4; 사용편의성 3; 응답속도 1; 추천의향 4; 수기의견 데이터 보정 기능 좋음,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0080,receipt,data/input_images/receipts/receipt_080_R-0080.jpg,2026-04-22,그린오피스,도서자료,91300,현금,,,,,교육자료 준비,False,False,상호명 그린오피스; 일자 2026-04-22; 합계금액 91300; 수기메모 교육자료 준비,"상호명, 일자, 합계금액, 수기메모"
S-0038,survey,data/input_images/surveys/survey_038_S-0038.jpg,2026-04-20,,만족도설문,,,영업팀,4,2,5,입력 절차가 간단함,False,False,응답일 2026-04-20; 부서 영업팀; 전체만족도 4; 사용편의성 2; 응답속도 5; 추천의향 2; 수기의견 입력 절차가 간단함,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0029,receipt,data/input_images/receipts/receipt_029_R-0029.jpg,2026-05-18,데이터랩서점,인쇄제본,183150,개인카드,,,,,실습 준비용,False,False,상호명 데이터랩서점; 일자 2026-05-18; 합계금액 183150; 수기메모 실습 준비용,"상호명, 일자, 합계금액, 수기메모"
R-0054,receipt,data/input_images/receipts/receipt_054_R-0054.jpg,2026-06-15,스마트오피스,클라우드서비스,160050,법인카드,,,,,현장 실습비,False,False,상호명 스마트오피스; 일자 2026-06-15; 합계금액 160050; 수기메모 현장 실습비,"상호명, 일자, 합계금액, 수기메모"
R-0002,receipt,data/input_images/receipts/receipt_002_R-0002.jpg,2026-07-02,스마트오피스,교육운영,193600,법인카드,,,,,실습 준비용,True,True,상호명 스마트오피스; 일자 2026-07-02; 합계금액 193600; 수기메모 실습 준비용,"상호명, 일자, 합계금액, 수기메모"
R-0034,receipt,data/input_images/receipts/receipt_034_R-0034.jpg,2026-04-13,스마트오피스,인쇄제본,255750,현금,,,,,실습 준비용,False,False,상호명 스마트오피스; 일자 2026-04-13; 합계금액 255750; 수기메모 실습 준비용,"상호명, 일자, 합계금액, 수기메모"
R-0020,receipt,data/input_images/receipts/receipt_020_R-0020.jpg,2026-05-10,그린오피스,도서자료,117150,법인카드,,,,,팀 회의 사용,False,False,상호명 그린오피스; 일자 2026-05-10; 합계금액 117150; 수기메모 팀 회의 사용,"상호명, 일자, 합계금액, 수기메모"
R-0040,receipt,data/input_images/receipts/receipt_040_R-0040.jpg,2026-04-24,서울프린트,사무용품,123200,계좌이체,,,,,실습 준비용,False,False,상호명 서울프린트; 일자 2026-04-24; 합계금액 123200; 수기메모 실습 준비용,"상호명, 일자, 합계금액, 수기메모"
R-0037,receipt,data/input_images/receipts/receipt_037_R-0037.jpg,2026-04-03,그린오피스,회의비,94050,현금,,,,,현장 실습비,False,False,상호명 그린오피스; 일자 2026-04-03; 합계금액 94050; 수기메모 현장 실습비,"상호명, 일자, 합계금액, 수기메모"
R-0008,receipt,data/input_images/receipts/receipt_008_R-0008.jpg,2026-04-09,스마트오피스,사무용품,195250,계좌이체,,,,,운영비 처리,False,False,상호명 스마트오피스; 일자 2026-04-09; 합계금액 195250; 수기메모 운영비 처리,"상호명, 일자, 합계금액, 수기메모"
R-0033,receipt,data/input_images/receipts/receipt_033_R-0033.jpg,2026-04-19,테크문구,클라우드서비스,97900,법인카드,,,,,대시보드 검토,False,False,상호명 테크문구; 일자 2026-04-19; 합계금액 97900; 수기메모 대시보드 검토,"상호명, 일자, 합계금액, 수기메모"
R-0102,receipt,data/input_images/receipts/receipt_102_R-0102.jpg,2026-03-01,서울프린트,클라우드서비스,193050,현금,,,,,현장 실습비,False,False,상호명 서울프린트; 일자 2026-03-01; 합계금액 193050; 수기메모 현장 실습비,"상호명, 일자, 합계금액, 수기메모"
S-0118,survey,data/input_images/surveys/survey_118_S-0118.jpg,2026-04-09,,만족도설문,,,영업팀,5,2,3,모바일 화면 개선,False,False,응답일 2026-04-09; 부서 영업팀; 전체만족도 5; 사용편의성 2; 응답속도 3; 추천의향 4; 수기의견 모바일 화면 개선,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0023,receipt,data/input_images/receipts/receipt_023_R-0023.jpg,2026-04-30,디지털스캔샵,인쇄제본,153450,계좌이체,,,,,실습 준비용,False,True,상호명 디지털스캔샵; 일자 2026-04-30; 합계금액 153450; 수기메모 실습 준비용,"상호명, 일자, 합계금액, 수기메모"
R-0039,receipt,data/input_images/receipts/receipt_039_R-0039.jpg,2026-04-10,데이터랩서점,인쇄제본,161700,법인카드,,,,,교육자료 준비,False,False,상호명 데이터랩서점; 일자 2026-04-10; 합계금액 161700; 수기메모 교육자료 준비,"상호명, 일자, 합계금액, 수기메모"
S-0034,survey,data/input_images/surveys/survey_034_S-0034.jpg,2026-04-29,,만족도설문,,,데이터팀,3,4,4,대시보드가 보기 쉬움,False,False,응답일 2026-04-29; 부서 데이터팀; 전체만족도 3; 사용편의성 4; 응답속도 4; 추천의향 3; 수기의견 대시보드가 보기 쉬움,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0028,receipt,data/input_images/receipts/receipt_028_R-0028.jpg,2026-05-12,모두카페,회의비,200200,개인카드,,,,,현장 실습비,False,False,상호명 모두카페; 일자 2026-05-12; 합계금액 200200; 수기메모 현장 실습비,"상호명, 일자, 합계금액, 수기메모"
R-0059,receipt,data/input_images/receipts/receipt_059_R-0059.jpg,2026-07-05,업무자동화카페,회의비,94050,법인카드,,,,,OCR 테스트용,False,False,상호명 업무자동화카페; 일자 2026-07-05; 합계금액 94050; 수기메모 OCR 테스트용,"상호명, 일자, 합계금액, 수기메모"
R-0120,receipt,data/input_images/receipts/receipt_120_R-0120.jpg,2026-07-03,데이터랩서점,도서자료,274450,현금,,,,,프로젝트 자료,False,False,상호명 데이터랩서점; 일자 2026-07-03; 합계금액 274450; 수기메모 프로젝트 자료,"상호명, 일자, 합계금액, 수기메모"
S-0098,survey,data/input_images/surveys/survey_098_S-0098.jpg,2026-04-20,,만족도설문,,,운영팀,5,3,2,대시보드가 보기 쉬움,False,False,응답일 2026-04-20; 부서 운영팀; 전체만족도 5; 사용편의성 3; 응답속도 2; 추천의향 4; 수기의견 대시보드가 보기 쉬움,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0100,survey,data/input_images/surveys/survey_100_S-0100.jpg,2026-03-27,,만족도설문,,,기획팀,3,3,5,보고서 자동화 유용,False,False,응답일 2026-03-27; 부서 기획팀; 전체만족도 3; 사용편의성 3; 응답속도 5; 추천의향 5; 수기의견 보고서 자동화 유용,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0030,survey,data/input_images/surveys/survey_030_S-0030.jpg,2026-05-19,,만족도설문,,,인사팀,5,2,1,OCR 결과 확인 필요,False,True,응답일 2026-05-19; 부서 인사팀; 전체만족도 5; 사용편의성 2; 응답속도 1; 추천의향 5; 수기의견 OCR 결과 확인 필요,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0114,receipt,data/input_images/receipts/receipt_114_R-0114.jpg,2026-04-21,업무자동화카페,도서자료,171600,현금,,,,,실습 준비용,False,False,상호명 업무자동화카페; 일자 2026-04-21; 합계금액 171600; 수기메모 실습 준비용,"상호명, 일자, 합계금액, 수기메모"
S-0066,survey,data/input_images/surveys/survey_066_S-0066.jpg,2026-05-29,,만족도설문,,,인사팀,4,3,1,속도 개선 필요,False,False,응답일 2026-05-29; 부서 인사팀; 전체만족도 4; 사용편의성 3; 응답속도 1; 추천의향 4; 수기의견 속도 개선 필요,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0032,survey,data/input_images/surveys/survey_032_S-0032.jpg,2026-04-03,,만족도설문,,,교육팀,4,3,3,입력 절차가 간단함,False,False,응답일 2026-04-03; 부서 교육팀; 전체만족도 4; 사용편의성 3; 응답속도 3; 추천의향 4; 수기의견 입력 절차가 간단함,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0022,survey,data/input_images/surveys/survey_022_S-0022.jpg,2026-06-17,,만족도설문,,,운영팀,2,2,4,메뉴 구성이 좋음,True,False,응답일 2026-06-17; 부서 운영팀; 전체만족도 2; 사용편의성 2; 응답속도 4; 추천의향 4; 수기의견 메뉴 구성이 좋음,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0074,survey,data/input_images/surveys/survey_074_S-0074.jpg,2026-03-26,,만족도설문,,,운영팀,3,4,5,속도 개선 필요,True,False,응답일 2026-03-26; 부서 운영팀; 전체만족도 3; 사용편의성 4; 응답속도 5; 추천의향 5; 수기의견 속도 개선 필요,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0058,survey,data/input_images/surveys/survey_058_S-0058.jpg,2026-05-25,,만족도설문,,,인사팀,3,5,1,속도 개선 필요,True,False,응답일 2026-05-25; 부서 인사팀; 전체만족도 3; 사용편의성 5; 응답속도 1; 추천의향 4; 수기의견 속도 개선 필요,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0118,receipt,data/input_images/receipts/receipt_118_R-0118.jpg,2026-05-31,클라우드문구,도서자료,93500,법인카드,,,,,팀 회의 사용,False,True,상호명 클라우드문구; 일자 2026-05-31; 합계금액 93500; 수기메모 팀 회의 사용,"상호명, 일자, 합계금액, 수기메모"
R-0007,receipt,data/input_images/receipts/receipt_007_R-0007.jpg,2026-05-24,데이터랩서점,회의비,119350,현금,,,,,프로젝트 자료,False,False,상호명 데이터랩서점; 일자 2026-05-24; 합계금액 119350; 수기메모 프로젝트 자료,"상호명, 일자, 합계금액, 수기메모"
S-0083,survey,data/input_images/surveys/survey_083_S-0083.jpg,2026-05-27,,만족도설문,,,운영팀,5,3,2,속도 개선 필요,False,False,응답일 2026-05-27; 부서 운영팀; 전체만족도 5; 사용편의성 3; 응답속도 2; 추천의향 4; 수기의견 속도 개선 필요,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0072,survey,data/input_images/surveys/survey_072_S-0072.jpg,2026-03-13,,만족도설문,,,영업팀,5,4,4,데이터 보정 기능 좋음,False,False,응답일 2026-03-13; 부서 영업팀; 전체만족도 5; 사용편의성 4; 응답속도 4; 추천의향 3; 수기의견 데이터 보정 기능 좋음,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0006,receipt,data/input_images/receipts/receipt_006_R-0006.jpg,2026-06-27,업무자동화카페,클라우드서비스,127050,법인카드,,,,,교육자료 준비,False,False,상호명 업무자동화카페; 일자 2026-06-27; 합계금액 127050; 수기메모 교육자료 준비,"상호명, 일자, 합계금액, 수기메모"
S-0120,survey,data/input_images/surveys/survey_120_S-0120.jpg,2026-05-19,,만족도설문,,,인사팀,2,3,3,모바일 화면 개선,False,False,응답일 2026-05-19; 부서 인사팀; 전체만족도 2; 사용편의성 3; 응답속도 3; 추천의향 3; 수기의견 모바일 화면 개선,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0067,survey,data/input_images/surveys/survey_067_S-0067.jpg,2026-07-02,,만족도설문,,,마케팅팀,5,4,5,메뉴 구성이 좋음,True,True,응답일 2026-07-02; 부서 마케팅팀; 전체만족도 5; 사용편의성 4; 응답속도 5; 추천의향 4; 수기의견 메뉴 구성이 좋음,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0077,receipt,data/input_images/receipts/receipt_077_R-0077.jpg,2026-04-04,업무자동화카페,사무용품,63800,현금,,,,,프로젝트 자료,False,False,상호명 업무자동화카페; 일자 2026-04-04; 합계금액 63800; 수기메모 프로젝트 자료,"상호명, 일자, 합계금액, 수기메모"
R-0021,receipt,data/input_images/receipts/receipt_021_R-0021.jpg,2026-04-04,데이터랩서점,인쇄제본,20350,법인카드,,,,,대시보드 검토,False,False,상호명 데이터랩서점; 일자 2026-04-04; 합계금액 20350; 수기메모 대시보드 검토,"상호명, 일자, 합계금액, 수기메모"
S-0023,survey,data/input_images/surveys/survey_023_S-0023.jpg,2026-05-23,,만족도설문,,,기획팀,3,2,5,보고서 자동화 유용,False,True,응답일 2026-05-23; 부서 기획팀; 전체만족도 3; 사용편의성 2; 응답속도 5; 추천의향 5; 수기의견 보고서 자동화 유용,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0059,survey,data/input_images/surveys/survey_059_S-0059.jpg,2026-04-19,,만족도설문,,,인사팀,3,4,1,OCR 결과 확인 필요,False,False,응답일 2026-04-19; 부서 인사팀; 전체만족도 3; 사용편의성 4; 응답속도 1; 추천의향 5; 수기의견 OCR 결과 확인 필요,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0010,survey,data/input_images/surveys/survey_010_S-0010.jpg,2026-03-12,,만족도설문,,,운영팀,5,3,4,속도 개선 필요,False,False,응답일 2026-03-12; 부서 운영팀; 전체만족도 5; 사용편의성 3; 응답속도 4; 추천의향 2; 수기의견 속도 개선 필요,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0025,survey,data/input_images/surveys/survey_025_S-0025.jpg,2026-06-27,,만족도설문,,,재무팀,2,4,2,차트 설명이 필요함,False,False,응답일 2026-06-27; 부서 재무팀; 전체만족도 2; 사용편의성 4; 응답속도 2; 추천의향 4; 수기의견 차트 설명이 필요함,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0087,survey,data/input_images/surveys/survey_087_S-0087.jpg,2026-03-29,,만족도설문,,,데이터팀,5,2,2,차트 설명이 필요함,False,False,응답일 2026-03-29; 부서 데이터팀; 전체만족도 5; 사용편의성 2; 응답속도 2; 추천의향 3; 수기의견 차트 설명이 필요함,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0112,survey,data/input_images/surveys/survey_112_S-0112.jpg,2026-06-28,,만족도설문,,,기획팀,5,2,3,속도 개선 필요,False,False,응답일 2026-06-28; 부서 기획팀; 전체만족도 5; 사용편의성 2; 응답속도 3; 추천의향 4; 수기의견 속도 개선 필요,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0004,receipt,data/input_images/receipts/receipt_004_R-0004.jpg,2026-06-14,서울프린트,회의비,206250,법인카드,,,,,팀 회의 사용,False,True,상호명 서울프린트; 일자 2026-06-14; 합계금액 206250; 수기메모 팀 회의 사용,"상호명, 일자, 합계금액, 수기메모"
S-0084,survey,data/input_images/surveys/survey_084_S-0084.jpg,2026-03-24,,만족도설문,,,재무팀,4,3,5,데이터 보정 기능 좋음,True,False,응답일 2026-03-24; 부서 재무팀; 전체만족도 4; 사용편의성 3; 응답속도 5; 추천의향 4; 수기의견 데이터 보정 기능 좋음,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0043,receipt,data/input_images/receipts/receipt_043_R-0043.jpg,2026-04-29,테크문구,클라우드서비스,166650,법인카드,,,,,운영비 처리,True,False,상호명 테크문구; 일자 2026-04-29; 합계금액 166650; 수기메모 운영비 처리,"상호명, 일자, 합계금액, 수기메모"
R-0075,receipt,data/input_images/receipts/receipt_075_R-0075.jpg,2026-05-09,서울프린트,사무용품,112750,법인카드,,,,,팀 회의 사용,False,True,상호명 서울프린트; 일자 2026-05-09; 합계금액 112750; 수기메모 팀 회의 사용,"상호명, 일자, 합계금액, 수기메모"
S-0042,survey,data/input_images/surveys/survey_042_S-0042.jpg,2026-05-10,,만족도설문,,,데이터팀,3,5,4,보고서 자동화 유용,False,False,응답일 2026-05-10; 부서 데이터팀; 전체만족도 3; 사용편의성 5; 응답속도 4; 추천의향 4; 수기의견 보고서 자동화 유용,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0013,receipt,data/input_images/receipts/receipt_013_R-0013.jpg,2026-05-24,클라우드문구,교육운영,126500,현금,,,,,실습 준비용,False,False,상호명 클라우드문구; 일자 2026-05-24; 합계금액 126500; 수기메모 실습 준비용,"상호명, 일자, 합계금액, 수기메모"
S-0071,survey,data/input_images/surveys/survey_071_S-0071.jpg,2026-07-05,,만족도설문,,,데이터팀,5,2,2,데이터 보정 기능 좋음,True,False,응답일 2026-07-05; 부서 데이터팀; 전체만족도 5; 사용편의성 2; 응답속도 2; 추천의향 2; 수기의견 데이터 보정 기능 좋음,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0114,survey,data/input_images/surveys/survey_114_S-0114.jpg,2026-03-21,,만족도설문,,,운영팀,4,3,4,속도 개선 필요,False,False,응답일 2026-03-21; 부서 운영팀; 전체만족도 4; 사용편의성 3; 응답속도 4; 추천의향 4; 수기의견 속도 개선 필요,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0049,survey,data/input_images/surveys/survey_049_S-0049.jpg,2026-06-26,,만족도설문,,,교육팀,5,4,1,차트 설명이 필요함,False,False,응답일 2026-06-26; 부서 교육팀; 전체만족도 5; 사용편의성 4; 응답속도 1; 추천의향 4; 수기의견 차트 설명이 필요함,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0049,receipt,data/input_images/receipts/receipt_049_R-0049.jpg,2026-03-28,테크문구,클라우드서비스,115500,개인카드,,,,,OCR 테스트용,False,False,상호명 테크문구; 일자 2026-03-28; 합계금액 115500; 수기메모 OCR 테스트용,"상호명, 일자, 합계금액, 수기메모"
S-0076,survey,data/input_images/surveys/survey_076_S-0076.jpg,2026-05-06,,만족도설문,,,인사팀,5,5,3,메뉴 구성이 좋음,False,False,응답일 2026-05-06; 부서 인사팀; 전체만족도 5; 사용편의성 5; 응답속도 3; 추천의향 5; 수기의견 메뉴 구성이 좋음,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0095,receipt,data/input_images/receipts/receipt_095_R-0095.jpg,2026-03-08,스마트오피스,회의비,125950,현금,,,,,운영비 처리,False,False,상호명 스마트오피스; 일자 2026-03-08; 합계금액 125950; 수기메모 운영비 처리,"상호명, 일자, 합계금액, 수기메모"
R-0016,receipt,data/input_images/receipts/receipt_016_R-0016.jpg,2026-07-05,모두카페,회의비,79750,법인카드,,,,,OCR 테스트용,False,False,상호명 모두카페; 일자 2026-07-05; 합계금액 79750; 수기메모 OCR 테스트용,"상호명, 일자, 합계금액, 수기메모"
S-0006,survey,data/input_images/surveys/survey_006_S-0006.jpg,2026-06-09,,만족도설문,,,인사팀,3,5,5,보고서 자동화 유용,True,False,응답일 2026-06-09; 부서 인사팀; 전체만족도 3; 사용편의성 5; 응답속도 5; 추천의향 3; 수기의견 보고서 자동화 유용,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0061,receipt,data/input_images/receipts/receipt_061_R-0061.jpg,2026-06-04,데이터랩서점,사무용품,255200,계좌이체,,,,,운영비 처리,False,False,상호명 데이터랩서점; 일자 2026-06-04; 합계금액 255200; 수기메모 운영비 처리,"상호명, 일자, 합계금액, 수기메모"
R-0035,receipt,data/input_images/receipts/receipt_035_R-0035.jpg,2026-04-12,클라우드문구,클라우드서비스,132000,개인카드,,,,,운영비 처리,False,False,상호명 클라우드문구; 일자 2026-04-12; 합계금액 132000; 수기메모 운영비 처리,"상호명, 일자, 합계금액, 수기메모"
S-0085,survey,data/input_images/surveys/survey_085_S-0085.jpg,2026-05-24,,만족도설문,,,재무팀,3,3,1,속도 개선 필요,True,True,응답일 2026-05-24; 부서 재무팀; 전체만족도 3; 사용편의성 3; 응답속도 1; 추천의향 5; 수기의견 속도 개선 필요,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0084,receipt,data/input_images/receipts/receipt_084_R-0084.jpg,2026-05-26,서울프린트,인쇄제본,134200,법인카드,,,,,팀 회의 사용,False,False,상호명 서울프린트; 일자 2026-05-26; 합계금액 134200; 수기메모 팀 회의 사용,"상호명, 일자, 합계금액, 수기메모"
S-0103,survey,data/input_images/surveys/survey_103_S-0103.jpg,2026-05-31,,만족도설문,,,인사팀,5,5,3,OCR 결과 확인 필요,False,False,응답일 2026-05-31; 부서 인사팀; 전체만족도 5; 사용편의성 5; 응답속도 3; 추천의향 4; 수기의견 OCR 결과 확인 필요,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0065,survey,data/input_images/surveys/survey_065_S-0065.jpg,2026-06-05,,만족도설문,,,교육팀,2,3,2,차트 설명이 필요함,True,False,응답일 2026-06-05; 부서 교육팀; 전체만족도 2; 사용편의성 3; 응답속도 2; 추천의향 5; 수기의견 차트 설명이 필요함,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
